AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	150	940	0.9968186638388123	457.0	0.48617021276595745	935	0.9915164369034994	590.0	0.6310160427807486	940	0.9968186638388123	456.0	0.4851063829787234	941	0.9978791092258749	697.0	0.740701381509033
2	0.0	-0.2	-0.2	0	150	940	0.9968186638388123	457.0	0.48617021276595745	655	0.694591728525981	346.0	0.5282442748091603	783	0.8303287380699894	378.0	0.4827586206896552	940	0.9968186638388123	585.0	0.6223404255319149
3	0.0	-0.4	-0.4	0	150	940	0.9968186638388123	457.0	0.48617021276595745	394	0.4178154825026511	220.0	0.5583756345177665	492	0.5217391304347826	240.0	0.4878048780487805	940	0.9968186638388123	525.0	0.5585106382978723
4	0.0	-0.6	-0.6	0	150	940	0.9968186638388123	457.0	0.48617021276595745	248	0.26299045599151644	135.0	0.5443548387096774	301	0.31919406150583246	166.0	0.5514950166112956	940	0.9968186638388123	498.0	0.5297872340425532
5	0.0	-0.8	-0.8	0	150	940	0.9968186638388123	457.0	0.48617021276595745	144	0.15270413573700956	87.0	0.6041666666666666	182	0.19300106044538706	110.0	0.6043956043956044	940	0.9968186638388123	476.0	0.5063829787234042
6	0.0	-1.0	-1.0	0	150	940	0.9968186638388123	457.0	0.48617021276595745	52	0.05514316012725345	31.0	0.5961538461538461	57	0.060445387062566275	31.0	0.543859649122807	940	0.9968186638388123	459.0	0.48829787234042554
7	0.2	0.0	0.0	0	150	785	0.8324496288441146	392.0	0.49936305732484076	935	0.9915164369034994	590.0	0.6310160427807486	940	0.9968186638388123	456.0	0.4851063829787234	937	0.9936373276776246	876.0	0.9348986125933831
8	0.2	-0.2	-0.2	0	150	785	0.8324496288441146	392.0	0.49936305732484076	655	0.694591728525981	346.0	0.5282442748091603	783	0.8303287380699894	378.0	0.4827586206896552	832	0.8822905620360552	672.0	0.8076923076923077
9	0.2	-0.4	-0.4	0	150	785	0.8324496288441146	392.0	0.49936305732484076	394	0.4178154825026511	220.0	0.5583756345177665	492	0.5217391304347826	240.0	0.4878048780487805	802	0.8504772004241782	530.0	0.6608478802992519
10	0.2	-0.6	-0.6	0	150	785	0.8324496288441146	392.0	0.49936305732484076	248	0.26299045599151644	135.0	0.5443548387096774	301	0.31919406150583246	166.0	0.5514950166112956	790	0.8377518557794273	466.0	0.589873417721519
11	0.2	-0.8	-0.8	0	150	785	0.8324496288441146	392.0	0.49936305732484076	144	0.15270413573700956	87.0	0.6041666666666666	182	0.19300106044538706	110.0	0.6043956043956044	787	0.8345705196182397	425.0	0.5400254129606099
12	0.2	-1.0	-1.0	0	150	785	0.8324496288441146	392.0	0.49936305732484076	52	0.05514316012725345	31.0	0.5961538461538461	57	0.060445387062566275	31.0	0.543859649122807	785	0.8324496288441146	393.0	0.5006369426751592
13	0.4	0.0	0.0	0	150	498	0.528101802757158	238.0	0.4779116465863454	935	0.9915164369034994	590.0	0.6310160427807486	940	0.9968186638388123	456.0	0.4851063829787234	935	0.9915164369034994	1060.0	1.1336898395721926
14	0.4	-0.2	-0.2	0	150	498	0.528101802757158	238.0	0.4779116465863454	655	0.694591728525981	346.0	0.5282442748091603	783	0.8303287380699894	378.0	0.4827586206896552	710	0.7529162248144221	784.0	1.1042253521126761
15	0.4	-0.4	-0.4	0	150	498	0.528101802757158	238.0	0.4779116465863454	394	0.4178154825026511	220.0	0.5583756345177665	492	0.5217391304347826	240.0	0.4878048780487805	583	0.6182396606574762	527.0	0.9039451114922813
16	0.4	-0.6	-0.6	0	150	498	0.528101802757158	238.0	0.4779116465863454	248	0.26299045599151644	135.0	0.5443548387096774	301	0.31919406150583246	166.0	0.5514950166112956	534	0.5662778366914104	385.0	0.7209737827715356
17	0.4	-0.8	-0.8	0	150	498	0.528101802757158	238.0	0.4779116465863454	144	0.15270413573700956	87.0	0.6041666666666666	182	0.19300106044538706	110.0	0.6043956043956044	514	0.545068928950159	308.0	0.5992217898832685
