0 0 272
0 0 5 874965758
0 1 3 876893171
0 2 4 878542960
0 3 3 876893119
0 4 3 889751712
0 5 5 887431973
0 6 4 875071561
0 7 1 875072484
0 8 5 878543541
0 9 3 875693118
0 10 2 875072262
0 11 5 878542960
0 12 5 875071805
0 13 5 874965706
0 14 5 875071608
0 15 5 878543541
0 16 3 875073198
0 17 4 887432020
0 18 5 875071515
0 19 4 887431883
0 20 1 878542772
0 21 4 875072404
0 22 4 875072895
0 23 3 875071713
0 24 4 875071805
0 25 3 875072442
0 26 2 876892946
0 27 4 875072173
0 28 1 878542869
0 29 3 878542515
0 30 3 875072144
0 31 5 888732909
0 32 4 878542699
0 33 2 878542869
0 34 1 878542420
0 35 2 875073180
0 36 2 878543030
0 37 3 878543075
0 38 4 875072173
0 39 3 876893230
0 40 2 876892818
0 41 5 876892425
0 42 4 878542869
0 43 5 878543541
0 44 5 875241687
0 45 4 876893230
0 46 4 875072125
0 47 5 875072520
0 48 3 878542478
0 49 5 874965954
0 50 4 878543275
0 51 4 875072205
0 52 3 876893206
0 53 3 878543308
0 54 5 875072688
0 55 4 875072716
0 56 5 878542459
0 57 4 878542960
0 58 5 876892817
0 59 5 875072370
0 60 4 878542420
0 61 3 878542282
0 62 2 878543196
0 63 5 875072404
0 64 4 875072125
0 65 4 878543030
0 66 3 876893054
0 67 4 875072688
0 68 3 875072262
0 69 3 875072895
0 70 3 876892425
0 71 4 878542678
0 72 3 876892774
0 73 1 889751736
0 74 4 878543238
0 75 4 878543176
0 76 4 876893205
0 77 1 878543176
0 78 4 875072865
0 79 4 876893008
0 80 5 875072865
0 81 5 878542589
0 82 3 875072370
0 83 4 875072923
0 84 3 875073180
0 85 5 878543541
0 86 5 878543541
0 87 4 878542791
0 88 5 875072484
0 89 4 878542300
0 90 5 876892636
0 91 3 876892425
0 92 5 875071484
0 93 2 875072956
0 94 4 875072303
0 95 5 875072716
0 96 3 875073128
0 97 4 875072404
0 98 3 875072547
0 99 5 878543541
0 100 2 878542845
0 101 2 889751736
0 102 1 878542845
0 103 1 875241619
0 104 2 875240739
0 105 4 875241390
0 106 4 875241619
0 107 5 875240920
0 108 5 874965739
0 109 1 878542845
0 110 5 889751711
0 111 1 878542441
0 112 5 878542738
0 113 5 875072173
0 114 5 878541637
0 115 3 878542960
0 116 3 874965739
0 117 3 875071927
0 118 5 876893098
0 119 1 875241637
0 120 4 875071823
0 121 3 875241498
0 122 4 875071541
0 123 5 875071484
0 124 3 878542960
0 125 2 875071713
0 126 5 874965706
0 127 4 875072573
0 128 5 887431908
0 129 3 875072002
0 130 1 878542552
0 131 4 878542889
0 132 4 876892818
0 133 4 875073067
0 134 4 875072404
0 135 3 876893206
0 136 5 875071541
0 137 1 878543006
0 138 3 878543216
0 139 1 878543133
0 140 3 878542608
0 141 2 878543238
0 142 1 875072631
0 143 4 875073180
0 144 2 875073067
0 145 4 875071561
0 146 3 875240993
0 147 2 875240799
0 148 2 878542791
0 149 5 876892196
0 150 4 875072865
0 151 5 878542589
0 152 3 876893230
0 153 5 878543541
0 154 2 878542201
0 155 4 874965556
0 156 4 876892918
0 157 3 878542699
0 158 3 875073180
0 159 4 875072547
0 160 4 875072303
0 161 4 878542420
0 162 4 875072442
0 163 3 876893171
0 164 5 874965518
0 165 5 874965677
0 166 2 878542383
0 167 5 874965478
0 168 5 878543541
0 169 5 876892856
0 170 5 889751711
0 171 5 874965478
0 172 5 878541803
0 173 5 875073198
0 174 5 875072547
0 175 5 876892468
0 176 5 876892701
0 177 5 878543541
0 178 3 875072370
0 179 3 875072573
0 180 5 874965739
0 181 4 875072520
0 182 5 875072262
0 183 4 875072956
0 184 4 875072631
0 185 4 875073128
0 186 4 874965678
0 187 3 875073128
0 188 3 888732928
0 189 5 875072125
0 190 5 875072956
0 191 4 875072547
0 192 4 876892654
0 193 4 876892743
0 194 5 876892855
0 195 5 874965677
0 196 5 875072956
0 197 5 878542717
0 198 4 875072262
0 199 3 876893098
0 200 3 878542960
0 201 5 875072442
0 202 4 878542231
0 203 5 875072688
0 204 3 878542909
0 205 4 876893205
0 206 5 875073067
0 207 5 878542960
0 208 4 888732908
0 209 4 878542909
0 210 3 878541970
0 211 4 875072895
0 212 2 876892896
0 213 4 875072520
0 214 3 876893145
0 215 5 876892701
0 216 3 876892676
0 217 3 876892856
0 218 1 878542327
0 219 3 875241390
0 220 5 887431921
0 221 4 878873388
0 222 5 876892918
0 223 5 875071484
0 224 2 878542738
0 225 3 878543176
0 226 4 876892946
0 227 5 878543541
0 228 4 878542075
0 229 4 878542420
0 230 1 876893031
0 231 3 878543196
0 232 2 878542552
0 233 4 876892355
0 234 5 875071589
0 235 4 875071898
0 236 2 875071749
0 237 4 875072235
0 238 4 878542845
0 239 3 875071898
0 240 4 878543133
0 241 5 889751633
0 242 1 875241390
0 243 2 887431973
0 244 2 875071713
0 245 5 874965905
0 246 1 875241619
0 247 4 874965954
0 248 4 874965970
0 249 4 874965706
0 250 4 875071843
0 251 2 875240677
0 252 5 874965970
0 253 1 878541392
0 254 2 885345822
0 255 4 889751712
0 256 4 874965954
0 257 5 878873389
0 258 1 875692979
0 259 1 875071713
