AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	Min Sim Neighbors	Min Best Neighbors	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	Rev MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF	Combined NN NO3 FN Predictions	NN NO3 FN Coverage	NN NO3 FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
2	0.1	0.0	0.0	0	0	1500	941	0.9978791092258749	537.0	0.5706695005313497	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	941	0.9978791092258749	537.0	0.5706695005313497	941	0.9978791092258749	537.0	0.5706695005313497
3	0.2	0.0	0.0	0	0	1500	939	0.9957582184517497	507.0	0.5399361022364217	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	940	0.9968186638388123	507.0	0.5393617021276595	940	0.9968186638388123	507.0	0.5393617021276595
4	0.3	0.0	0.0	0	0	1500	933	0.9893955461293743	485.0	0.5198285101822079	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	939	0.9957582184517497	489.0	0.5207667731629393	938	0.9946977730646872	489.0	0.5213219616204691
5	0.4	0.0	0.0	0	0	1500	906	0.9607635206786851	432.0	0.4768211920529801	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	932	0.9883351007423118	453.0	0.48605150214592274	932	0.9883351007423118	459.0	0.48605150214592274
6	0.5	0.0	0.0	0	0	1500	838	0.8886532343584306	379.0	0.4522673031026253	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	928	0.9840933191940615	459.0	0.49461206896551724	928	0.9840933191940615	468.0	0.49461206896551724
7	0.6	0.0	0.0	0	0	1500	734	0.7783669141039237	315.0	0.42915531335149865	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	924	0.9798515376458112	484.0	0.5238095238095238	924	0.9798515376458112	502.0	0.5238095238095238
8	0.7	0.0	0.0	0	0	1500	601	0.6373276776246023	244.0	0.4059900166389351	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	922	0.9777306468716861	523.0	0.5672451193058569	922	0.9777306468716861	541.0	0.5672451193058569
9	0.8	0.0	0.0	0	0	1500	473	0.5015906680805938	182.0	0.38477801268498946	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	922	0.9777306468716861	559.0	0.6062906724511931	920	0.975609756097561	584.0	0.6076086956521739
10	0.9	0.0	0.0	0	0	1500	342	0.36267232237539765	150.0	0.43859649122807015	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	922	0.9777306468716861	604.0	0.6550976138828634	920	0.975609756097561	634.0	0.6565217391304348
11	1.0	0.0	0.0	0	0	1500	206	0.21845174973488865	120.0	0.5825242718446602	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	922	0.9777306468716861	652.0	0.7071583514099783	920	0.975609756097561	701.0	0.7086956521739131
