AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	Min Sim Neighbors	Min Best Neighbors	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	Rev MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF	Combined NN NO3 FN Predictions	NN NO3 FN Coverage	NN NO3 FN MAE Sum	NN FN MAE CF
1	1.0	0.0	0.0	0	0	1500	32	0.033934252386002124	17.0	0.53125	933	0.9893955461293743	619.0	0.6634512325830654	933	0.9893955461293743	711.0	0.7620578778135049	933	0.9893955461293743	613.0	0.6570203644158628	933	0.9893955461293743	709.0	0.6570203644158628
2	1.0	-0.1	-0.1	0	0	1500	32	0.033934252386002124	17.0	0.53125	737	0.7815482502651113	414.0	0.5617367706919946	765	0.8112407211028632	549.0	0.7176470588235294	738	0.782608695652174	411.0	0.556910569105691	766	0.8123011664899258	548.0	0.5365535248041775
3	1.0	-0.2	-0.2	0	0	1500	32	0.033934252386002124	17.0	0.53125	556	0.5896076352067868	294.0	0.5287769784172662	613	0.6500530222693531	410.0	0.6688417618270799	557	0.5906680805938495	299.0	0.5368043087971275	617	0.6542948038176034	414.0	0.4846029173419773
4	1.0	-0.3	-0.3	0	0	1500	32	0.033934252386002124	17.0	0.53125	401	0.4252386002120891	224.0	0.5586034912718204	490	0.5196182396606575	320.0	0.6530612244897959	405	0.42948038176033937	225.0	0.5555555555555556	496	0.5259809119830329	326.0	0.4536290322580645
5	1.0	-0.4	-0.4	0	0	1500	32	0.033934252386002124	17.0	0.53125	290	0.3075291622481442	161.0	0.5551724137931034	379	0.4019088016967126	246.0	0.6490765171503958	299	0.3170731707317073	166.0	0.5551839464882943	386	0.4093319194061506	253.0	0.43005181347150256
6	1.0	-0.5	-0.5	0	0	1500	32	0.033934252386002124	17.0	0.53125	216	0.22905620360551432	118.0	0.5462962962962963	300	0.3181336161187699	191.0	0.6366666666666667	227	0.24072110286320256	121.0	0.5330396475770925	309	0.32767762460233296	193.0	0.39158576051779936
7	1.0	-0.6	-0.6	0	0	1500	32	0.033934252386002124	17.0	0.53125	166	0.176033934252386	86.0	0.5180722891566265	215	0.22799575821845175	144.0	0.6697674418604651	178	0.18875927889713678	92.0	0.5168539325842697	228	0.2417815482502651	149.0	0.40350877192982454
8	1.0	-0.7	-0.7	0	0	1500	32	0.033934252386002124	17.0	0.53125	109	0.11558854718981973	60.0	0.5504587155963303	150	0.15906680805938495	104.0	0.6933333333333334	124	0.13149522799575822	66.0	0.532258064516129	166	0.176033934252386	110.0	0.39759036144578314
9	1.0	-0.8	-0.8	0	0	1500	32	0.033934252386002124	17.0	0.53125	83	0.088016967126193	50.0	0.6024096385542169	121	0.1283138918345705	94.0	0.7768595041322314	101	0.1071049840933192	58.0	0.5742574257425742	137	0.14528101802757157	101.0	0.4233576642335766
10	1.0	-0.9	-0.9	0	0	1500	32	0.033934252386002124	17.0	0.53125	66	0.06998939554612937	40.0	0.6060606060606061	87	0.09225874867444327	70.0	0.8045977011494253	84	0.08907741251325557	48.0	0.5714285714285714	105	0.11134676564156946	75.0	0.45714285714285713
11	1.0	-1.0	-1.0	0	0	1500	32	0.033934252386002124	17.0	0.53125	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	53	0.05620360551431601	30.0	0.5660377358490566	52	0.05514316012725345	28.0	0.5769230769230769
