AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	Min Sim Neighbors	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	Rev MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF	Combined NN NO3 FN Predictions	NN NO3 FN Coverage	NN NO3 FN MAE Sum	NN FN MAE CF
1	50	0.0	0.0	0	0	1500	938	0.9946977730646872	412.0	0.43923240938166314	928	0.9840933191940615	477.0	0.5140086206896551	921	0.9766702014846236	588.0	0.6384364820846905	939	0.9957582184517497	413.0	0.4398296059637913	939	0.9957582184517497	413.0	0.4398296059637913
2	50	-0.1	-0.1	0	0	1500	938	0.9946977730646872	412.0	0.43923240938166314	926	0.9819724284199364	471.0	0.5086393088552916	918	0.9734888653234358	583.0	0.6350762527233116	939	0.9957582184517497	413.0	0.4398296059637913	939	0.9957582184517497	413.0	0.4398296059637913
3	50	-0.2	-0.2	0	0	1500	938	0.9946977730646872	412.0	0.43923240938166314	920	0.975609756097561	450.0	0.4891304347826087	913	0.968186638388123	575.0	0.6297918948521358	939	0.9957582184517497	413.0	0.4398296059637913	939	0.9957582184517497	413.0	0.4398296059637913
4	50	-0.3	-0.3	0	0	1500	938	0.9946977730646872	412.0	0.43923240938166314	902	0.9565217391304348	410.0	0.45454545454545453	905	0.9597030752916225	564.0	0.6232044198895028	939	0.9957582184517497	413.0	0.4398296059637913	939	0.9957582184517497	413.0	0.4398296059637913
5	50	-0.4	-0.4	0	0	1500	938	0.9946977730646872	412.0	0.43923240938166314	887	0.9406150583244963	379.0	0.42728297632469	901	0.9554612937433722	562.0	0.6237513873473918	939	0.9957582184517497	413.0	0.4398296059637913	939	0.9957582184517497	413.0	0.4398296059637913
1	70	0.0	0.0	0	0	1500	939	0.9957582184517497	455.0	0.4845580404685836	927	0.9830328738069989	530.0	0.5717367853290184	928	0.9840933191940615	646.0	0.6961206896551724	940	0.9968186638388123	455.0	0.48404255319148937	940	0.9968186638388123	455.0	0.48404255319148937
2	70	-0.1	-0.1	0	0	1500	939	0.9957582184517497	455.0	0.4845580404685836	925	0.9809119830328739	520.0	0.5621621621621622	926	0.9819724284199364	648.0	0.6997840172786177	940	0.9968186638388123	455.0	0.48404255319148937	940	0.9968186638388123	455.0	0.48404255319148937
3	70	-0.2	-0.2	0	0	1500	939	0.9957582184517497	455.0	0.4845580404685836	917	0.9724284199363733	498.0	0.5430752453653217	920	0.975609756097561	631.0	0.6858695652173913	940	0.9968186638388123	455.0	0.48404255319148937	940	0.9968186638388123	455.0	0.48404255319148937
4	70	-0.3	-0.3	0	0	1500	939	0.9957582184517497	455.0	0.4845580404685836	892	0.9459172852598091	455.0	0.5100896860986547	909	0.9639448568398727	610.0	0.671067106710671	940	0.9968186638388123	455.0	0.48404255319148937	940	0.9968186638388123	455.0	0.48404255319148937
5	70	-0.4	-0.4	0	0	1500	939	0.9957582184517497	455.0	0.4845580404685836	870	0.9225874867444327	434.0	0.49885057471264366	899	0.953340402969247	593.0	0.6596218020022246	940	0.9968186638388123	455.0	0.48404255319148937	940	0.9968186638388123	455.0	0.48404255319148937
1	90	0.0	0.0	0	0	1500	940	0.9968186638388123	477.0	0.5074468085106383	930	0.9862142099681867	581.0	0.624731182795699	927	0.9830328738069989	671.0	0.7238403451995685	940	0.9968186638388123	477.0	0.5074468085106383	940	0.9968186638388123	477.0	0.5074468085106383
2	90	-0.1	-0.1	0	0	1500	940	0.9968186638388123	477.0	0.5074468085106383	923	0.9787910922587487	561.0	0.6078006500541712	922	0.9777306468716861	656.0	0.7114967462039046	940	0.9968186638388123	477.0	0.5074468085106383	940	0.9968186638388123	477.0	0.5074468085106383
3	90	-0.2	-0.2	0	0	1500	940	0.9968186638388123	477.0	0.5074468085106383	909	0.9639448568398727	527.0	0.5797579757975797	912	0.9671261930010604	633.0	0.694078947368421	940	0.9968186638388123	477.0	0.5074468085106383	940	0.9968186638388123	477.0	0.5074468085106383
4	90	-0.3	-0.3	0	0	1500	940	0.9968186638388123	477.0	0.5074468085106383	893	0.9469777306468717	483.0	0.5408734602463606	903	0.9575821845174973	620.0	0.6866002214839424	940	0.9968186638388123	477.0	0.5074468085106383	940	0.9968186638388123	477.0	0.5074468085106383
5	90	-0.4	-0.4	0	0	1500	940	0.9968186638388123	477.0	0.5074468085106383	855	0.9066808059384942	443.0	0.5181286549707602	889	0.9427359490986215	593.0	0.6670416197975253	940	0.9968186638388123	477.0	0.5074468085106383	940	0.9968186638388123	477.0	0.5074468085106383
