AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	Min Sim Neighbors	Min Best Neighbors	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	Rev MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF	Combined NN NO3 FN Predictions	NN NO3 FN Coverage	NN NO3 FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
2	0.0	-0.1	-0.1	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	900	0.9544008483563097	638.0	0.7088888888888889	890	0.943796394485684	689.0	0.7741573033707865	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
3	0.0	-0.2	-0.2	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	849	0.9003181336161188	563.0	0.6631330977620731	851	0.9024390243902439	652.0	0.7661574618096357	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
4	0.0	-0.3	-0.3	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	769	0.8154825026511134	457.0	0.5942782834850455	794	0.8419936373276776	593.0	0.7468513853904282	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
5	0.0	-0.4	-0.4	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	693	0.7348886532343585	385.0	0.5555555555555556	743	0.7879109225874867	525.0	0.7065948855989233	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
6	0.0	-0.5	-0.5	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	608	0.6447507953340403	298.0	0.4901315789473684	677	0.7179215270413574	460.0	0.6794682422451994	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
7	0.0	-0.6	-0.6	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	519	0.5503711558854719	236.0	0.45472061657032753	623	0.6606574761399788	433.0	0.695024077046549	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
8	0.0	-0.7	-0.7	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	440	0.46659597030752914	192.0	0.43636363636363634	547	0.5800636267232238	371.0	0.6782449725776966	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
9	0.0	-0.8	-0.8	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	356	0.37751855779427357	152.0	0.42696629213483145	497	0.5270413573700954	331.0	0.6659959758551308	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
10	0.0	-0.9	-0.9	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	279	0.295864262990456	126.0	0.45161290322580644	452	0.47932131495228	306.0	0.6769911504424779	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
11	0.0	-1.0	-1.0	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	202	0.2142099681866384	119.0	0.5891089108910891	387	0.41039236479321317	291.0	0.751937984496124	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
