AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	Min Sim Neighbors	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	Rev MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF	Combined NN NO3 FN Predictions	NN NO3 FN Coverage	NN NO3 FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	0	1500	941	0.9978791092258749	544.0	0.5781083953241233	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	941	0.9978791092258749	544.0	0.5781083953241233	941	0.9978791092258749	544.0	0.5781083953241233
2	0.05	0.0	0.0	0	0	1500	941	0.9978791092258749	541.0	0.5749202975557917	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	941	0.9978791092258749	541.0	0.5749202975557917	941	0.9978791092258749	541.0	0.5749202975557917
3	0.1	0.0	0.0	0	0	1500	941	0.9978791092258749	537.0	0.5706695005313497	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	941	0.9978791092258749	537.0	0.5706695005313497	941	0.9978791092258749	537.0	0.5706695005313497
4	0.15	0.0	0.0	0	0	1500	941	0.9978791092258749	530.0	0.563230605738576	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	941	0.9978791092258749	530.0	0.563230605738576	941	0.9978791092258749	530.0	0.563230605738576
5	0.2	0.0	0.0	0	0	1500	939	0.9957582184517497	507.0	0.5399361022364217	922	0.9777306468716861	675.0	0.7321041214750542	920	0.975609756097561	737.0	0.8010869565217391	940	0.9968186638388123	507.0	0.5393617021276595	940	0.9968186638388123	507.0	0.5393617021276595
6	0.0	0.0	0.0	5	0	1500	941	0.9978791092258749	572.0	0.6078639744952179	922	0.9777306468716861	727.0	0.7885032537960954	911	0.9660657476139979	782.0	0.858397365532382	941	0.9978791092258749	572.0	0.6078639744952179	941	0.9978791092258749	572.0	0.6078639744952179
7	0.05	0.0	0.0	5	0	1500	941	0.9978791092258749	570.0	0.6057385759829969	922	0.9777306468716861	727.0	0.7885032537960954	911	0.9660657476139979	782.0	0.858397365532382	941	0.9978791092258749	570.0	0.6057385759829969	941	0.9978791092258749	570.0	0.6057385759829969
8	0.1	0.0	0.0	5	0	1500	941	0.9978791092258749	562.0	0.5972369819341127	922	0.9777306468716861	727.0	0.7885032537960954	911	0.9660657476139979	782.0	0.858397365532382	941	0.9978791092258749	562.0	0.5972369819341127	941	0.9978791092258749	562.0	0.5972369819341127
9	0.15	0.0	0.0	5	0	1500	941	0.9978791092258749	549.0	0.5834218916046758	922	0.9777306468716861	727.0	0.7885032537960954	911	0.9660657476139979	782.0	0.858397365532382	941	0.9978791092258749	549.0	0.5834218916046758	941	0.9978791092258749	549.0	0.5834218916046758
10	0.2	0.0	0.0	5	0	1500	939	0.9957582184517497	525.0	0.5591054313099042	922	0.9777306468716861	727.0	0.7885032537960954	911	0.9660657476139979	782.0	0.858397365532382	940	0.9968186638388123	525.0	0.5585106382978723	940	0.9968186638388123	525.0	0.5585106382978723
