AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	Min Sim Neighbors	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	Rev MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF	Combined NN NO3 FN Predictions	NN NO3 FN Coverage	NN NO3 FN MAE Sum	NN FN MAE CF
1	0.0	50	0.0	0	0	1500	938	0.9946977730646872	412.0	0.43923240938166314	928	0.9840933191940615	477.0	0.5140086206896551	921	0.9766702014846236	588.0	0.6384364820846905	939	0.9957582184517497	413.0	0.4398296059637913	939	0.9957582184517497	413.0	0.4398296059637913
2	0.1	50	0.0	0	0	1500	936	0.9925768822905621	403.0	0.4305555555555556	928	0.9840933191940615	477.0	0.5140086206896551	921	0.9766702014846236	588.0	0.6384364820846905	939	0.9957582184517497	405.0	0.43130990415335463	938	0.9946977730646872	404.0	0.43176972281449894
3	0.2	50	0.0	0	0	1500	931	0.9872746553552492	386.0	0.4146079484425349	928	0.9840933191940615	477.0	0.5140086206896551	921	0.9766702014846236	588.0	0.6384364820846905	939	0.9957582184517497	389.0	0.4142705005324814	936	0.9925768822905621	388.0	0.4155982905982906
4	0.3	50	0.0	0	0	1500	931	0.9872746553552492	365.0	0.3920515574650913	928	0.9840933191940615	477.0	0.5140086206896551	921	0.9766702014846236	588.0	0.6384364820846905	939	0.9957582184517497	368.0	0.3919062832800852	936	0.9925768822905621	367.0	0.39316239316239315
5	0.4	50	0.0	0	0	1500	926	0.9819724284199364	363.0	0.39200863930885527	928	0.9840933191940615	477.0	0.5140086206896551	921	0.9766702014846236	588.0	0.6384364820846905	939	0.9957582184517497	369.0	0.3929712460063898	935	0.9915164369034994	368.0	0.3946524064171123
1	0.0	70	0.0	0	0	1500	939	0.9957582184517497	455.0	0.4845580404685836	927	0.9830328738069989	530.0	0.5717367853290184	928	0.9840933191940615	646.0	0.6961206896551724	940	0.9968186638388123	455.0	0.48404255319148937	940	0.9968186638388123	455.0	0.48404255319148937
2	0.1	70	0.0	0	0	1500	937	0.9936373276776246	449.0	0.4791889007470651	927	0.9830328738069989	530.0	0.5717367853290184	928	0.9840933191940615	646.0	0.6961206896551724	940	0.9968186638388123	450.0	0.4787234042553192	940	0.9968186638388123	451.0	0.4787234042553192
3	0.2	70	0.0	0	0	1500	933	0.9893955461293743	429.0	0.45980707395498394	927	0.9830328738069989	530.0	0.5717367853290184	928	0.9840933191940615	646.0	0.6961206896551724	939	0.9957582184517497	431.0	0.4589989350372737	939	0.9957582184517497	432.0	0.4589989350372737
4	0.3	70	0.0	0	0	1500	931	0.9872746553552492	414.0	0.4446831364124597	927	0.9830328738069989	530.0	0.5717367853290184	928	0.9840933191940615	646.0	0.6961206896551724	938	0.9946977730646872	416.0	0.44349680170575695	938	0.9946977730646872	417.0	0.44349680170575695
5	0.4	70	0.0	0	0	1500	926	0.9819724284199364	382.0	0.41252699784017277	927	0.9830328738069989	530.0	0.5717367853290184	928	0.9840933191940615	646.0	0.6961206896551724	936	0.9925768822905621	387.0	0.41346153846153844	935	0.9915164369034994	387.0	0.413903743315508
1	0.0	90	0.0	0	0	1500	940	0.9968186638388123	477.0	0.5074468085106383	930	0.9862142099681867	581.0	0.624731182795699	927	0.9830328738069989	671.0	0.7238403451995685	940	0.9968186638388123	477.0	0.5074468085106383	940	0.9968186638388123	477.0	0.5074468085106383
2	0.1	90	0.0	0	0	1500	937	0.9936373276776246	463.0	0.49413020277481323	930	0.9862142099681867	581.0	0.624731182795699	927	0.9830328738069989	671.0	0.7238403451995685	940	0.9968186638388123	464.0	0.49361702127659574	939	0.9957582184517497	464.0	0.4941427050053248
3	0.2	90	0.0	0	0	1500	935	0.9915164369034994	445.0	0.47593582887700536	930	0.9862142099681867	581.0	0.624731182795699	927	0.9830328738069989	671.0	0.7238403451995685	940	0.9968186638388123	448.0	0.4765957446808511	939	0.9957582184517497	448.0	0.47710330138445156
4	0.3	90	0.0	0	0	1500	934	0.9904559915164369	427.0	0.45717344753747324	930	0.9862142099681867	581.0	0.624731182795699	927	0.9830328738069989	671.0	0.7238403451995685	940	0.9968186638388123	431.0	0.45851063829787236	939	0.9957582184517497	431.0	0.4589989350372737
5	0.4	90	0.0	0	0	1500	928	0.9840933191940615	400.0	0.43103448275862066	930	0.9862142099681867	581.0	0.624731182795699	927	0.9830328738069989	671.0	0.7238403451995685	939	0.9957582184517497	407.0	0.4334398296059638	936	0.9925768822905621	406.0	0.43482905982905984
