AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	150	3056	0.9964134333224649	1160.0	0.3795811518324607	3050	0.9944571242256276	1593.0	0.5222950819672131	3056	0.9964134333224649	1159.0	0.37925392670157065	3061	0.9980436909031627	2053.0	0.6706958510290755
2	0.0	-0.2	-0.2	0	150	3056	0.9964134333224649	1160.0	0.3795811518324607	2596	0.846429735898272	1154.0	0.4445300462249615	2827	0.921747636126508	1048.0	0.3707110010611956	3058	0.997065536354744	1794.0	0.5866579463701765
3	0.0	-0.4	-0.4	0	150	3056	0.9964134333224649	1160.0	0.3795811518324607	1876	0.6116726442777959	860.0	0.4584221748400853	2233	0.7280730355396152	867.0	0.3882669055082848	3057	0.9967394848386045	1516.0	0.49591102387962055
4	0.0	-0.6	-0.6	0	150	3056	0.9964134333224649	1160.0	0.3795811518324607	1279	0.4170198891424845	614.0	0.4800625488663018	1606	0.5236387349201174	677.0	0.4215442092154421	3056	0.9964134333224649	1357.0	0.44404450261780104
5	0.0	-0.8	-0.8	0	150	3056	0.9964134333224649	1160.0	0.3795811518324607	884	0.28822954026736225	465.0	0.5260180995475113	1070	0.34887512226931855	474.0	0.44299065420560746	3056	0.9964134333224649	1271.0	0.41590314136125656
6	0.0	-1.0	-1.0	0	150	3056	0.9964134333224649	1160.0	0.3795811518324607	245	0.07988262145418976	130.0	0.5306122448979592	323	0.10531463971307467	152.0	0.47058823529411764	3056	0.9964134333224649	1167.0	0.3818717277486911
7	0.2	0.0	0.0	0	150	2822	0.9201173785458102	1040.0	0.36853295535081504	3050	0.9944571242256276	1593.0	0.5222950819672131	3056	0.9964134333224649	1159.0	0.37925392670157065	3055	0.9960873818063254	2488.0	0.8144026186579378
8	0.2	-0.2	-0.2	0	150	2822	0.9201173785458102	1040.0	0.36853295535081504	2596	0.846429735898272	1154.0	0.4445300462249615	2827	0.921747636126508	1048.0	0.3707110010611956	2916	0.950766221062928	2046.0	0.7016460905349794
9	0.2	-0.4	-0.4	0	150	2822	0.9201173785458102	1040.0	0.36853295535081504	1876	0.6116726442777959	860.0	0.4584221748400853	2233	0.7280730355396152	867.0	0.3882669055082848	2855	0.9308770785784154	1604.0	0.5618213660245184
10	0.2	-0.6	-0.6	0	150	2822	0.9201173785458102	1040.0	0.36853295535081504	1279	0.4170198891424845	614.0	0.4800625488663018	1606	0.5236387349201174	677.0	0.4215442092154421	2832	0.9233778937072057	1340.0	0.4731638418079096
11	0.2	-0.8	-0.8	0	150	2822	0.9201173785458102	1040.0	0.36853295535081504	884	0.28822954026736225	465.0	0.5260180995475113	1070	0.34887512226931855	474.0	0.44299065420560746	2828	0.9220736876426475	1203.0	0.4253889674681754
12	0.2	-1.0	-1.0	0	150	2822	0.9201173785458102	1040.0	0.36853295535081504	245	0.07988262145418976	130.0	0.5306122448979592	323	0.10531463971307467	152.0	0.47058823529411764	2824	0.9207694815780894	1048.0	0.37110481586402266
13	0.4	0.0	0.0	0	150	2239	0.7300293446364525	862.0	0.38499330058061637	3050	0.9944571242256276	1593.0	0.5222950819672131	3056	0.9964134333224649	1159.0	0.37925392670157065	3050	0.9944571242256276	3113.0	1.0206557377049181
14	0.4	-0.2	-0.2	0	150	2239	0.7300293446364525	862.0	0.38499330058061637	2596	0.846429735898272	1154.0	0.4445300462249615	2827	0.921747636126508	1048.0	0.3707110010611956	2742	0.8940332572546462	2687.0	0.9799416484318016
15	0.4	-0.4	-0.4	0	150	2239	0.7300293446364525	862.0	0.38499330058061637	1876	0.6116726442777959	860.0	0.4584221748400853	2233	0.7280730355396152	867.0	0.3882669055082848	2449	0.7985001630257581	1919.0	0.7835851367905268
16	0.4	-0.6	-0.6	0	150	2239	0.7300293446364525	862.0	0.38499330058061637	1279	0.4170198891424845	614.0	0.4800625488663018	1606	0.5236387349201174	677.0	0.4215442092154421	2320	0.7564395174437561	1376.0	0.593103448275862
17	0.4	-0.8	-0.8	0	150	2239	0.7300293446364525	862.0	0.38499330058061637	884	0.28822954026736225	465.0	0.5260180995475113	1070	0.34887512226931855	474.0	0.44299065420560746	2268	0.7394848386044995	1124.0	0.49559082892416223
18	0.4	-1.0	-1.0	0	150	2239	0.7300293446364525	862.0	0.38499330058061637	245	0.07988262145418976	130.0	0.5306122448979592	323	0.10531463971307467	152.0	0.47058823529411764	2244	0.7316596022171503	883.0	0.39349376114081996
19	0.6	0.0	0.0	0	150	1612	0.5255950440169547	670.0	0.41563275434243174	3050	0.9944571242256276	1593.0	0.5222950819672131	3056	0.9964134333224649	1159.0	0.37925392670157065	3050	0.9944571242256276	3557.0	1.1662295081967213
20	0.6	-0.2	-0.2	0	150	1612	0.5255950440169547	670.0	0.41563275434243174	2596	0.846429735898272	1154.0	0.4445300462249615	2827	0.921747636126508	1048.0	0.3707110010611956	2652	0.8646886208020867	3266.0	1.2315233785822022
21	0.6	-0.4	-0.4	0	150	1612	0.5255950440169547	670.0	0.41563275434243174	1876	0.6116726442777959	860.0	0.4584221748400853	2233	0.7280730355396152	867.0	0.3882669055082848	2149	0.7006847081838931	2319.0	1.0791065611912518
22	0.6	-0.6	-0.6	0	150	1612	0.5255950440169547	670.0	0.41563275434243174	1279	0.4170198891424845	614.0	0.4800625488663018	1606	0.5236387349201174	677.0	0.4215442092154421	1860	0.6064558200195631	1561.0	0.839247311827957
23	0.6	-0.8	-0.8	0	150	1612	0.5255950440169547	670.0	0.41563275434243174	884	0.28822954026736225	465.0	0.5260180995475113	1070	0.34887512226931855	474.0	0.44299065420560746	1732	0.5647212259537007	1132.0	0.6535796766743649
