AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	150	6030	0.9983443708609272	2248.0	0.37280265339966834	6029	0.9981788079470199	2973.0	0.49311660308508876	6030	0.9983443708609272	2250.0	0.373134328358209	6030	0.9983443708609272	2248.0	0.37280265339966834
2	0.0	-0.2	-0.2	0	150	6030	0.9983443708609272	2248.0	0.37280265339966834	5454	0.9029801324503312	2318.0	0.425009167583425	5800	0.9602649006622517	2092.0	0.3606896551724138	6030	0.9983443708609272	2240.0	0.3714759535655058
3	0.0	-0.4	-0.4	0	150	6030	0.9983443708609272	2248.0	0.37280265339966834	4309	0.71341059602649	1866.0	0.43304711069853796	4905	0.8120860927152318	1893.0	0.38593272171253823	6030	0.9983443708609272	2245.0	0.3723051409618574
4	0.2	0.0	0.0	0	150	5795	0.9594370860927153	2085.0	0.359792924935289	6029	0.9981788079470199	2973.0	0.49311660308508876	6030	0.9983443708609272	2250.0	0.373134328358209	6030	0.9983443708609272	2241.0	0.3716417910447761
5	0.2	-0.2	-0.2	0	150	5795	0.9594370860927153	2085.0	0.359792924935289	5454	0.9029801324503312	2318.0	0.425009167583425	5800	0.9602649006622517	2092.0	0.3606896551724138	5804	0.9609271523178808	2091.0	0.36026878015161956
6	0.2	-0.4	-0.4	0	150	5795	0.9594370860927153	2085.0	0.359792924935289	4309	0.71341059602649	1866.0	0.43304711069853796	4905	0.8120860927152318	1893.0	0.38593272171253823	5797	0.9597682119205299	2083.0	0.3593237881662929
7	0.4	0.0	0.0	0	150	4916	0.813907284768212	1871.0	0.3805939788445891	6029	0.9981788079470199	2973.0	0.49311660308508876	6030	0.9983443708609272	2250.0	0.373134328358209	6030	0.9983443708609272	2239.0	0.3713101160862355
8	0.4	-0.2	-0.2	0	150	4916	0.813907284768212	1871.0	0.3805939788445891	5454	0.9029801324503312	2318.0	0.425009167583425	5800	0.9602649006622517	2092.0	0.3606896551724138	5801	0.9604304635761589	2092.0	0.36062747802103085
9	0.4	-0.4	-0.4	0	150	4916	0.813907284768212	1871.0	0.3805939788445891	4309	0.71341059602649	1866.0	0.43304711069853796	4905	0.8120860927152318	1893.0	0.38593272171253823	4942	0.8182119205298013	1887.0	0.3818292189397005
10	0.6	0.0	0.0	0	150	3788	0.6271523178807947	1596.0	0.42133051742344246	6029	0.9981788079470199	2973.0	0.49311660308508876	6030	0.9983443708609272	2250.0	0.373134328358209	6030	0.9983443708609272	2246.0	0.3724709784411277
11	0.6	-0.2	-0.2	0	150	3788	0.6271523178807947	1596.0	0.42133051742344246	5454	0.9029801324503312	2318.0	0.425009167583425	5800	0.9602649006622517	2092.0	0.3606896551724138	5801	0.9604304635761589	2093.0	0.3607998620927426
12	0.6	-0.4	-0.4	0	150	3788	0.6271523178807947	1596.0	0.42133051742344246	4309	0.71341059602649	1866.0	0.43304711069853796	4905	0.8120860927152318	1893.0	0.38593272171253823	4908	0.8125827814569536	1892.0	0.3854930725346373
