AA	MinSimilarity	MinRevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	150	940	0.9968186638388123	457.0	0.48617021276595745	935	0.9915164369034994	590.0	0.6310160427807486	927	0.9830328738069989	669.0	0.7216828478964401	940	0.9968186638388123	456.0	0.4851063829787234	940	0.9968186638388123	455.0	0.48404255319148937
2	0.0	-0.2	-0.2	0	150	940	0.9968186638388123	457.0	0.48617021276595745	655	0.694591728525981	346.0	0.5282442748091603	709	0.7518557794273595	475.0	0.6699576868829337	783	0.8303287380699894	378.0	0.4827586206896552	940	0.9968186638388123	458.0	0.48723404255319147
3	0.0	-0.4	-0.4	0	150	940	0.9968186638388123	457.0	0.48617021276595745	394	0.4178154825026511	220.0	0.5583756345177665	466	0.4941675503711559	308.0	0.6609442060085837	492	0.5217391304347826	240.0	0.4878048780487805	940	0.9968186638388123	457.0	0.48617021276595745
4	0.2	0.0	0.0	0	150	785	0.8324496288441146	392.0	0.49936305732484076	935	0.9915164369034994	590.0	0.6310160427807486	927	0.9830328738069989	669.0	0.7216828478964401	940	0.9968186638388123	456.0	0.4851063829787234	940	0.9968186638388123	452.0	0.4808510638297872
5	0.2	-0.2	-0.2	0	150	785	0.8324496288441146	392.0	0.49936305732484076	655	0.694591728525981	346.0	0.5282442748091603	709	0.7518557794273595	475.0	0.6699576868829337	783	0.8303287380699894	378.0	0.4827586206896552	791	0.83881230116649	390.0	0.49304677623261695
6	0.2	-0.4	-0.4	0	150	785	0.8324496288441146	392.0	0.49936305732484076	394	0.4178154825026511	220.0	0.5583756345177665	466	0.4941675503711559	308.0	0.6609442060085837	492	0.5217391304347826	240.0	0.4878048780487805	785	0.8324496288441146	390.0	0.4968152866242038
7	0.4	0.0	0.0	0	150	498	0.528101802757158	238.0	0.4779116465863454	935	0.9915164369034994	590.0	0.6310160427807486	927	0.9830328738069989	669.0	0.7216828478964401	940	0.9968186638388123	456.0	0.4851063829787234	940	0.9968186638388123	452.0	0.4808510638297872
8	0.4	-0.2	-0.2	0	150	498	0.528101802757158	238.0	0.4779116465863454	655	0.694591728525981	346.0	0.5282442748091603	709	0.7518557794273595	475.0	0.6699576868829337	783	0.8303287380699894	378.0	0.4827586206896552	784	0.8313891834570519	379.0	0.48341836734693877
9	0.4	-0.4	-0.4	0	150	498	0.528101802757158	238.0	0.4779116465863454	394	0.4178154825026511	220.0	0.5583756345177665	466	0.4941675503711559	308.0	0.6609442060085837	492	0.5217391304347826	240.0	0.4878048780487805	504	0.5344644750795334	246.0	0.4880952380952381
10	0.6	0.0	0.0	0	150	300	0.3181336161187699	161.0	0.5366666666666666	935	0.9915164369034994	590.0	0.6310160427807486	927	0.9830328738069989	669.0	0.7216828478964401	940	0.9968186638388123	456.0	0.4851063829787234	940	0.9968186638388123	456.0	0.4851063829787234
11	0.6	-0.2	-0.2	0	150	300	0.3181336161187699	161.0	0.5366666666666666	655	0.694591728525981	346.0	0.5282442748091603	709	0.7518557794273595	475.0	0.6699576868829337	783	0.8303287380699894	378.0	0.4827586206896552	784	0.8313891834570519	379.0	0.48341836734693877
12	0.6	-0.4	-0.4	0	150	300	0.3181336161187699	161.0	0.5366666666666666	394	0.4178154825026511	220.0	0.5583756345177665	466	0.4941675503711559	308.0	0.6609442060085837	492	0.5217391304347826	240.0	0.4878048780487805	493	0.5227995758218452	240.0	0.486815415821501
